"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_160","160","2022_3_ECM3_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,0.924408087,0.196518705,0.009654566,0.444940555,0.075488936
"Brzostek_161","161","2022_3_ECM3_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,69.56521739,1.07750542,0.24623186,0.007289691,0.326332826,0.33031693
"Brzostek_163","163","2022_3_ECM4_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,1.203640169,0.494502654,0.006844092,NA,NA
"Brzostek_164","164","2022_3_ECM4_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,4,1.396604901,0.190043716,0.008933325,0.570773632,0.162859793
"Brzostek_166","166","2022_3_ECM5_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,1.020789805,0.192787294,0.007137073,0.471103912,0.476494445
"Brzostek_167","167","2022_3_ECM5_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,89.79591837,1.288792742,0.114564474,0.00350171,0.304212858,0.613972388
"Brzostek_169","169","2022_3_ECM6_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,1.104040553,0.17287071,0.003648365,0.181617447,0.299180374
"Brzostek_170","170","2022_3_ECM6_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,0,0.727594599,0.127603196,0.008033365,0.060829743,0.311323454
"Brzostek_172","172","2022_7_AM1_R","recovery","2022","ws7","AM","Rhizosphere","517_722",NA,NA,1.899544273,0.287033798,0.062947344,0.374015204,0.451368339
"Brzostek_173","173","2022_7_AM1_B","recovery","2022","ws7","AM","Bulk","517_722",NA,24.13793103,0.521622223,0.171675162,0.036148979,0.278100249,0.341338289
"Brzostek_175","175","2022_7_AM2_R","recovery","2022","ws7","AM","Rhizosphere","517_722",NA,NA,1.525542637,0.400452015,0.08834743,0.782090016,0.411607298
"Brzostek_176","176","2022_7_AM2_B","recovery","2022","ws7","AM","Bulk","517_722",NA,37.36263736,2.214968854,0.50498208,0.111872399,0.598287918,0.534805972
"Brzostek_178","178","2022_7_AM3_R","recovery","2022","ws7","AM","Rhizosphere","517_722",NA,NA,1.434472423,0.25421532,0.054942424,0.287573147,0.071607457
"Brzostek_179","179","2022_7_AM3_B","recovery","2022","ws7","AM","Bulk","517_722",NA,24.3697479,1.224484572,0.711035978,0.157018323,0.147506317,0.260048191
"Brzostek_183","183","2022_7_AM5_R","recovery","2022","ws7","AM","Rhizosphere","517_722",NA,NA,0.125836421,0.198000228,0.042275798,0.282112141,0.426139579
"Brzostek_184","184","2022_7_AM5_B","recovery","2022","ws7","AM","Bulk","517_722",NA,48.80952381,NA,0.210073289,0.043378055,0.453057655,0.487126607
